DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;CAP;NC2R_CA_P3;NC2R_CJ_P4_S1A2;NC2R_CA_P4_S1;NC2R_CA_P5_S1;NC2R_CA_P6_S1;NC2R_CA_P7_S1;NC2R_CA_P8_S1;FEX_C
162471;1;1;1;J1; ; ; ; ; ; ; ;470,926926249849
162472;1;1;1;J1; ; ; ; ; ; ; ;400,807809001866
162473;1;1;1;J1; ; ; ; ; ; ; ;338,67902276595
162483;1;1;1;J1; ; ; ; ; ; ; ;547,12769771231
162484;1;1;1;J1; ; ; ; ; ; ; ;547,12769771231
162485;1;1;1;J1; ; ; ; ; ; ; ;908,761781944694
162487;1;1;1;J1; ; ; ; ; ; ; ;338,67902276595
162496;1;1;1;J1; ; ; ; ; ; ; ;910,786350861982
162497;1;1;1;J1; ; ; ; ; ; ; ;817,490910943962
162501;1;1;1;J1; ; ; ; ; ; ; ;726,324308422868
162502;1;1;1;J1; ; ; ; ; ; ; ;700,534368201935
164114;1;1;1;J1; ; ; ; ; ; ; ;365,759127438217
164117;1;1;1;J1; ; ; ; ; ; ; ;508,58131166671
164118;1;1;1;J1; ; ; ; ; ; ; ;508,58131166671
164119;1;1;1;J1; ; ; ; ; ; ; ;560,587018086123
164120;1;1;1;J1; ; ; ; ; ; ; ;365,759127438217
164121;1;1;1;J1; ; ; ; ; ; ; ;1211,10350242482
164122;1;1;1;J1; ; ; ; ; ; ; ;756,547710458856
164123;1;1;1;J1; ; ; ; ; ; ; ;508,58131166671
164807;1;1;1;J1; ; ; ; ; ; ; ;500,708416990589
