"DIRECTORIO";"Viajes";"Servicios"
120587;114000;44000
120588;0;12800
120589;0;341008
120590;0;140693
120591;0;92039
120592;0;353004
120593;0;85238
120594;0;0
120595;0;145435
120596;0;98800
120597;4e+05;304080
120599;0;150608
120600;0;136874
120601;0;136800
120602;0;161000
120604;0;143000
120605;0;61400
120606;50000;185959
120607;0;194838
120608;0;243500
120610;0;112771
120613;50000;140669
120615;50000;52025
120620;0;243205
120622;0;124000
120623;0;2e+05
120628;0;625150
120631;0;321400
120633;0;295068
120636;0;209048
120638;0;142943
120639;0;185384
120641;0;193981.5
120647;0;154026
120649;0;0
120650;0;88000
120651;0;102000
120654;0;168000
120656;0;170517
120657;0;221000
120662;0;236000
120663;70000;228572
120664;0;651791
120668;0;618600
120669;0;854000
120670;0;342000
120671;0;990000
120673;70000;243000
120674;1e+05;436500
120677;0;245444
120683;0;70000
120684;6e+06;360922
120694;0;175924
120702;0;94000
120706;0;145700
120708;0;378634
120709;0;115359
120710;0;93380
120711;0;0
120712;0;118610
120713;0;108000
120714;0;60000
120715;0;137000
120716;0;98400
120717;0;332980
120720;0;145976
120722;0;52500
120724;0;754049
120725;0;274000
120726;0;193860
120727;0;216909
120728;0;249840
120729;370000;109217
120730;0;111860
120731;0;404306
120732;0;150237
120733;120000;0
120734;120000;107000
120735;0;117689
120736;0;97138
120737;0;187598
120738;0;194339
120739;0;134339
120740;0;201375
120741;0;126873
120742;0;145244
120743;0;183767
120745;0;117500
120746;0;83300
120747;0;53000
120748;0;301442
120750;0;133200
120751;0;357333
120752;0;174671
120753;0;155034
120754;150000;108803
120759;0;136900
120760;0;59000
120761;0;124579.5
120762;0;327621
120763;0;175877
120764;0;309844
120765;0;80000
120767;480000;141174
120773;0;215400
120775;0;74900
120777;50000;75300
120778;0;38514
120779;0;151000
120780;0;186292
120781;0;60000
120782;0;198000
120783;70000;113000
120784;0;70000
120785;0;9000
120786;0;100434
120788;0;47547
120789;0;154338
120790;8e+05;119600
120791;130000;172421
120792;0;166536
120793;6e+05;150000
120796;0;0
120797;0;82605
120799;0;115000
120801;0;125000
120804;0;93164
120805;0;0
120807;5e+05;105149
120809;0;106000
120810;0;45217
120814;0;22417
120815;60000;31117
120818;0;9000
120819;0;73798
120821;0;56000
120829;0;0
120835;0;72797
120838;0;0
120839;340000;0
120848;5e+05;831000
120851;0;122900
120857;0;32811
120860;0;58350
120863;1e+06;116000
120864;0;79000
120874;0;155370
120877;0;48200
120881;6e+05;45000
120882;0;38000
120894;1e+06;171000
120896;1500000;88167
120907;0;201000
120910;0;212600
120911;0;180000
120914;0;510400
120924;0;70000
120925;0;0
120926;2e+05;68644
120927;0;497582
120928;0;16675
120929;0;227435
120930;0;198878
120932;0;57365
120934;0;35000
120935;0;0
120936;6e+05;154000
120938;0;66600
120939;0;70500
120941;0;76000
120942;0;32000
120943;0;29018
120944;0;11659
120945;0;38000
120951;720000;0
120955;270000;38670
120958;0;30000
120959;0;63000
120969;0;26200
120975;0;58000
120980;0;33000
120983;120000;69800
120984;80000;76269
120986;6e+05;37700
120987;0;41000
120989;0;70062
120990;0;67400
120991;0;165000
120993;1200000;0
120994;0;20000
120995;0;35000
120996;0;50700
120997;0;32000
120998;0;36000
120999;0;78000
121000;0;35000
121001;0;25000
121002;0;113000
121003;0;42000
121004;3800000;109500
121005;3e+06;130500
121007;0;113000
121008;0;50000
121010;0;56900
121011;2e+06;107000
121012;0;21900
121013;0;96500
121015;0;8200
121016;0;88500
121018;0;61000
121020;0;28250
121025;0;57600
121026;0;48100
121028;0;63100
121029;0;28100
121031;0;19567
121032;0;43250
121033;0;9100
121035;0;0
121037;0;59539.5
121040;7e+05;113195
121042;0;41675
121043;0;15000
121044;0;95140
121045;0;40300
121046;0;0
121048;0;10666.6666666667
121049;0;3333.33333333333
121051;0;7500
121052;0;7333.33333333333
121053;90000;11233.3333333333
121056;0;137905
121060;230000;83700
121061;0;82629
121063;1e+05;0
121065;0;204142
121066;0;48825
121067;0;2000
121068;0;192303
121069;0;328984
121070;0;190150
121071;0;85050
121072;0;207900
121073;150000;84800
121074;0;171000
121075;0;165000
121076;0;399781
121077;0;378538
121078;0;243144
121079;0;203218
121080;0;354272
121081;8e+05;67000
121082;5e+05;186466
121083;0;131500
121084;0;20000
121085;0;253544
121086;0;85559
121087;0;173238
121093;0;21500
121095;0;17000
121096;0;45000
121097;0;13000
121098;0;60400
121099;0;22840
121101;0;27700
121103;0;97900
121109;0;0
121111;0;90000
121112;0;15350
121114;0;49000
121115;0;17500
121117;0;242500
121118;0;37544
121119;150000;720000
121120;0;713000
121122;0;765000
121130;0;172000
121132;0;94459
121133;0;147000
121136;0;271552
121142;4e+06;230871
121143;0;354145
121149;0;144690
121156;0;54200
121159;0;42600
121165;1e+05;261000
121166;3e+05;266000
121167;0;233700
121174;0;126959
121175;0;193771
121176;0;60541
121184;0;54000
121185;0;406857
121187;0;185268
121188;0;79812
121197;0;235189
121201;0;108524
121203;0;244442
121204;0;131374
121212;0;85045
121214;0;129656
121215;0;56530
121217;0;53450
121218;0;143360
121222;2e+05;500620
121223;0;0
121224;0;0
121225;0;0
121226;0;137000
121227;0;41000
121229;0;106000
121231;0;78000
121234;0;65000
121236;0;47233
121237;0;0
121238;0;363400
121239;0;0
121240;2e+05;294000
121241;0;96000
121242;50000;40000
121243;0;232590.5
121244;5e+05;0
121245;0;126000
121246;1e+05;194324
121247;0;244249
121248;0;160000
121249;2e+06;167373
121250;5e+05;186614.5
121251;1e+05;219856.5
121252;0;157819.5
121253;0;282000
121254;320000;170000
121255;0;125000
121256;7e+05;128058
121257;650000;52300
121258;0;129000
121259;0;121000
121260;0;52000
121261;0;205000
121262;0;85000
121263;0;158000
121264;0;149500
121265;99;143870
121266;0;123575
121267;0;390000
121268;0;242337
121270;0;104750
121271;0;202416
121272;0;117000
121273;0;59000
121275;120000;80797
121276;0;192315
